ID	Label	Integrity	Coverage	NumIntrons	A	B	Γ	E
mRNA189	XM_014747183.1	0.942	0.807	3	1.000	0.807	1.000	1.000
mRNA190	XM_014747309.1	0.500	0.697	3	0.333	0.697	1.000	0.810
mRNA191	XM_014746094.1	0.875	0.917	14	0.857	0.917	0.710	1.000
mRNA192	XM_014747436.1	0.323	0.253	20	0.300	0.253	0.340	1.000
mRNA193	XM_014746219.1	0.053	0.000	3	0.000	0.000	0.055	1.000
mRNA194	XM_014746504.1	0.282	0.739	1	0.000	0.739	1.000	0.200
mRNA195	XM_014746422.1	0.231	0.571	1	0.000	0.571	1.000	0.200
mRNA196	XM_014746335.1	0.958	0.993	2	1.000	0.993	1.000	0.200
mRNA197	XM_014746630.1	0.781	0.771	4	0.750	0.771	1.000	1.000
mRNA198	XM_014746711.1	0.832	0.979	4	0.750	0.979	0.760	1.000
mRNA199	XM_014746796.1	0.982	0.982	4	1.000	0.982	0.740	1.000
mRNA200	XM_014759927.1	0.364	0.224	8	0.375	0.224	0.435	1.000
mRNA201	XM_014759918.1	0.364	0.224	8	0.375	0.224	0.435	1.000
mRNA202	XM_014759966.1	0.368	0.228	8	0.375	0.228	0.500	1.000
mRNA203	XM_014759957.1	0.369	0.227	8	0.375	0.227	0.520	1.000
mRNA204	XM_014759948.1	0.372	0.226	8	0.375	0.226	0.575	1.000
mRNA205	XM_014759938.1	0.364	0.224	8	0.375	0.224	0.435	1.000
mRNA206	XM_014759983.1	0.389	0.212	8	0.375	0.212	1.000	1.000
mRNA207	XM_014759975.1	0.359	0.357	8	0.375	0.357	0.435	0.110
mRNA208	XM_014759997.1	0.073	0.000	3	0.000	0.000	0.465	1.000
mRNA209	XM_014760012.1	0.100	0.000	3	0.000	0.000	1.000	1.000
mRNA210	XM_014760006.1	0.089	0.000	3	0.000	0.000	0.780	1.000
mRNA211	XM_014753676.1	0.224	0.164	8	0.125	0.164	1.000	1.000
mRNA212	XM_014753765.1	0.143	0.142	8	0.000	0.142	1.000	1.000
mRNA213	XM_014753852.1	0.114	0.047	8	0.000	0.047	1.000	1.000
mRNA214	XM_014753982.1	0.969	0.990	4	1.000	0.990	0.450	1.000
mRNA215	XM_014754315.1	0.010	0.000	12	0.000	0.000	0.105	0.100
mRNA216	XM_014754109.1	0.830	0.853	5	0.800	0.853	0.885	1.000
mRNA217	XM_014754193.1	0.971	0.978	4	1.000	0.978	0.885	0.660
mRNA218	XM_014760373.1	0.680	0.000	0	1.000	0.000	0.600	1.000
mRNA219	XM_014760594.1	0.852	0.902	6	0.833	0.902	1.000	0.630
mRNA220	XM_014760585.1	0.954	0.907	5	1.000	0.907	1.000	0.630
mRNA221	XM_014759627.1	0.408	0.400	21	0.333	0.400	0.765	1.000
mRNA222	XM_014759759.1	0.991	0.969	1	1.000	0.969	1.000	1.000
mRNA223	XM_014759677.1	0.025	0.000	9	0.000	0.000	0.000	0.500
mRNA224	XM_014751614.1	0.663	0.000	0	1.000	0.000	1.000	0.260
mRNA225	XM_014759773.1	0.790	0.672	11	0.818	0.672	0.960	1.000
mRNA226	XM_014757906.1	0.967	0.991	2	1.000	0.991	0.385	1.000
mRNA227	XM_014759810.1	0.359	0.355	51	0.255	0.355	1.000	1.000
mRNA228	XM_014759937.1	0.058	0.000	1	0.000	0.000	1.000	0.150
mRNA229	XM_014747792.1	0.000	0.000	6	0.000	0.000	0.000	0.000
mRNA230	XM_014760262.1	0.533	0.442	10	0.500	0.442	1.000	1.000
mRNA231	XM_014760253.1	0.493	0.309	10	0.500	0.309	1.000	1.000
mRNA232	XM_014760243.1	0.523	0.300	9	0.556	0.300	1.000	1.000
mRNA233	XM_014747839.1	0.654	1.000	6	0.500	1.000	0.085	1.000
mRNA234	XM_014749076.1	0.696	0.000	0	1.000	0.000	0.910	1.000
mRNA235	XM_014747700.1	0.993	0.977	6	1.000	0.977	1.000	1.000
mRNA236	XM_014748869.1	0.100	0.000	1	0.000	0.000	1.000	1.000
mRNA237	XM_014748955.1	0.100	0.000	1	0.000	0.000	1.000	1.000
mRNA238	XM_014748221.1	0.737	0.791	3	0.667	0.791	1.000	1.000
mRNA239	XM_014748047.1	0.792	0.808	4	0.750	0.808	1.000	1.000
mRNA240	XM_014748136.1	0.800	1.000	3	0.667	1.000	1.000	1.000
mRNA241	XM_014747958.1	0.880	1.000	5	0.800	1.000	1.000	1.000
mRNA242	XM_014748350.1	0.971	0.992	2	1.000	0.992	0.480	1.000
mRNA243	XM_014747565.1	0.614	0.000	1	1.000	0.000	0.205	0.080
mRNA244	XM_014748744.1	0.765	0.863	4	0.750	0.863	0.120	1.000
mRNA245	XM_014748482.1	0.765	0.862	4	0.750	0.862	0.120	1.000
mRNA246	XM_014748568.1	0.804	0.863	4	0.750	0.863	0.900	1.000
mRNA247	XM_014748658.1	0.799	0.861	4	0.750	0.861	0.820	1.000
mRNA248	XM_014760416.1	0.789	0.978	3	0.667	0.978	0.905	1.000
mRNA249	XM_014760407.1	0.989	0.980	3	1.000	0.980	0.905	1.000
mRNA250	XM_014760426.1	0.607	0.704	2	0.500	0.704	0.905	1.000
mRNA251	XM_014749501.1	0.403	0.593	12	0.250	0.593	0.500	1.000
mRNA252	XM_014749212.1	0.364	0.380	4	0.250	0.380	1.000	1.000
mRNA253	XM_014749380.1	0.336	0.387	5	0.200	0.387	1.000	1.000
mRNA254	XM_014749293.1	0.365	0.382	4	0.250	0.382	1.000	1.000
mRNA255	XM_014749720.1	0.759	0.912	3	0.667	0.912	0.700	1.000
mRNA256	XM_014749796.1	0.776	0.978	3	0.667	0.978	0.655	1.000
mRNA257	XM_014749634.1	0.976	0.979	3	1.000	0.979	0.655	1.000
mRNA258	XM_014759096.1	0.058	0.000	2	0.000	0.000	1.000	0.150
mRNA259	XM_014760117.1	0.948	0.994	12	0.917	0.994	1.000	1.000
mRNA260	XM_014760125.1	0.908	1.000	13	0.846	1.000	1.000	1.000
mRNA261	XM_014760145.1	0.400	0.000	4	0.500	0.000	1.000	1.000
mRNA262	XM_014760534.1	1.000	1.000	4	1.000	1.000	1.000	1.000
mRNA263	XM_014754192.1	0.692	0.974	4	0.500	0.974	1.000	1.000
mRNA264	XM_014755251.1	0.516	0.531	7	0.429	0.531	1.000	1.000
mRNA265	XM_014755084.1	0.516	0.530	7	0.429	0.530	1.000	1.000
mRNA266	XM_014755168.1	0.531	0.581	7	0.429	0.581	1.000	1.000
mRNA267	XM_014745153.1	0.015	0.000	3	0.000	0.000	0.000	0.310
mRNA268	XM_014744817.1	0.998	0.995	11	1.000	0.995	1.000	1.000
mRNA269	XM_014744738.1	0.933	0.959	11	0.909	0.959	1.000	1.000
mRNA270	XM_014744900.1	0.936	0.967	11	0.909	0.967	1.000	1.000
mRNA271	XM_014743817.1	0.943	0.992	11	0.909	0.992	1.000	1.000
mRNA272	XM_014744519.1	0.889	0.992	11	0.818	0.992	1.000	1.000
mRNA273	XM_014744173.1	0.859	0.993	13	0.769	0.993	1.000	1.000
mRNA274	XM_014744264.1	0.898	0.993	12	0.833	0.993	1.000	1.000
mRNA275	XM_014743993.1	0.859	0.993	13	0.769	0.993	1.000	1.000
mRNA276	XM_014744435.1	0.813	0.993	13	0.692	0.993	1.000	1.000
mRNA277	XM_014743729.1	0.860	0.993	13	0.769	0.993	1.000	1.000
mRNA278	XM_014744348.1	0.948	0.994	12	0.917	0.994	1.000	1.000
mRNA279	XM_014744084.1	0.906	0.994	13	0.846	0.994	1.000	1.000
mRNA280	XM_014743903.1	0.906	0.994	13	0.846	0.994	1.000	1.000
mRNA281	XM_014744604.1	0.834	0.992	11	0.727	0.992	1.000	1.000
mRNA282	XM_014745035.1	0.674	0.958	0	0.495	0.958	0.790	1.000
mRNA283	XM_014743599.1	0.841	0.804	12	0.833	0.804	1.000	1.000
mRNA284	XM_014743514.1	0.833	0.789	12	0.833	0.789	1.000	0.920
mRNA285	XM_014760358.1	0.956	0.939	8	1.000	0.939	1.000	0.480
mRNA286	XM_014760348.1	0.876	0.964	8	0.875	0.964	0.240	1.000
mRNA287	XM_014755425.1	0.988	0.989	1	1.000	0.989	0.835	1.000
mRNA288	XM_014749075.1	0.000	0.000	2	0.000	0.000	0.000	0.000
mRNA289	XM_014750348.1	0.050	0.000	16	0.000	0.000	0.000	1.000
mRNA290	XM_014751023.1	0.691	0.371	10	0.800	0.371	1.000	1.000
mRNA291	XM_014751116.1	0.691	0.369	10	0.800	0.369	1.000	1.000
mRNA292	XM_014753383.1	0.303	0.317	18	0.222	0.317	0.485	1.000
mRNA293	XM_014753468.1	0.303	0.318	18	0.222	0.318	0.485	1.000
mRNA294	XM_014753551.1	0.314	0.329	17	0.235	0.329	0.485	1.000
mRNA295	XM_014754519.1	0.822	0.806	5	0.800	0.806	1.000	1.000
mRNA296	XM_014754435.1	0.942	0.806	5	1.000	0.806	1.000	1.000
mRNA297	XM_014754964.1	0.962	0.994	2	1.000	0.994	0.280	1.000
mRNA298	XM_014754641.1	0.324	0.336	13	0.231	0.336	1.000	0.690
mRNA299	XM_014754728.1	0.390	0.353	12	0.333	0.353	1.000	0.690
mRNA300	XM_014754851.1	0.949	0.903	2	1.000	0.903	0.565	1.000
mRNA301	XM_014743964.1	0.100	0.000	9	0.000	0.000	1.000	1.000
mRNA302	XM_014743954.1	0.100	0.000	10	0.000	0.000	1.000	1.000
mRNA303	XM_014743970.1	0.093	0.000	10	0.000	0.000	1.000	0.860
mRNA304	XM_014743981.1	0.092	0.000	9	0.000	0.000	1.000	0.840
mRNA305	XM_014743687.1	0.100	0.000	3	0.000	0.000	1.000	1.000
mRNA306	XM_014743695.1	0.100	0.000	4	0.000	0.000	1.000	1.000
mRNA307	XM_014743730.1	0.100	0.000	1	0.000	0.000	1.000	1.000
mRNA308	XM_014760657.1	0.050	0.000	6	0.000	0.000	0.000	1.000
mRNA309	XM_014743708.1	0.089	0.000	5	0.000	0.000	0.785	1.000
mRNA310	XM_014743716.1	0.097	0.000	5	0.000	0.000	0.930	1.000
mRNA311	XM_014742703.1	0.672	0.598	26	0.654	0.598	1.000	1.000
mRNA312	XM_014742686.1	0.695	0.599	26	0.692	0.599	1.000	1.000
mRNA313	XM_014742710.1	0.671	0.597	26	0.654	0.597	1.000	1.000
mRNA314	XM_014742694.1	0.677	0.589	27	0.667	0.589	1.000	1.000
mRNA315	XM_014742717.1	0.948	1.000	3	1.000	1.000	0.785	0.170
mRNA316	XM_014742726.1	0.747	1.000	3	0.667	1.000	0.780	0.170
mRNA317	XM_014743298.1	0.353	0.262	31	0.290	0.262	1.000	1.000
mRNA318	XM_014743291.1	0.347	0.261	32	0.281	0.261	1.000	1.000
mRNA319	XM_014743283.1	0.346	0.259	32	0.281	0.259	1.000	1.000
mRNA320	XM_014743279.1	0.341	0.258	33	0.273	0.258	1.000	1.000
mRNA321	XM_014743994.1	0.700	0.000	0	1.000	0.000	1.000	1.000
mRNA322	XM_014744007.1	0.942	0.991	3	1.000	0.991	0.480	0.410
mRNA323	XM_014742407.1	0.294	0.362	28	0.143	0.362	1.000	1.000
mRNA324	XM_014742426.1	0.281	0.399	27	0.185	0.399	0.000	1.000
mRNA325	XM_014742416.1	0.253	0.392	28	0.143	0.392	0.000	1.000
mRNA326	XM_014742456.1	0.742	0.641	8	0.750	0.641	1.000	1.000
mRNA327	XM_014742447.1	0.751	0.670	8	0.750	0.670	1.000	1.000
mRNA328	XM_014742439.1	1.000	1.000	7	1.000	1.000	1.000	1.000
mRNA329	XM_014742477.1	0.849	0.996	8	0.750	0.996	1.000	1.000
mRNA330	XM_014742467.1	0.924	0.995	8	0.875	0.995	1.000	1.000
mRNA331	XM_014742371.1	0.998	0.993	3	1.000	0.993	1.000	1.000
mRNA332	XM_014742381.1	0.755	0.851	3	0.667	0.851	1.000	1.000
mRNA333	XM_014742391.1	0.760	0.925	3	0.667	0.925	0.640	1.000
mRNA334	XM_014742287.1	0.695	0.000	0	1.000	0.000	0.890	1.000
mRNA335	XM_014742345.1	0.924	0.748	7	1.000	0.748	1.000	1.000
mRNA336	XM_014742357.1	0.837	0.910	7	0.857	0.910	0.000	1.000
mRNA337	XM_014742299.1	0.356	0.355	8	0.250	0.355	1.000	1.000
mRNA338	XM_014742325.1	0.367	0.446	9	0.222	0.446	1.000	1.000
mRNA339	XM_014742316.1	0.358	0.459	10	0.200	0.459	1.000	1.000
