Species	AvgPercOcc	AvgPercGene	SeqID
Dmel	0.7215	0.9144	NC_004354.4
Agam	0.1915	0.6155	NT_078265.2
Agam	0.2072	0.6580	NT_078266.2
Agam	0.0953	0.4832	NT_078267.5
Agam	0.1002	0.5023	NT_078268.4
Agam	0.0916	0.3059	NC_004818.2
Dpul	0.6025	0.8664	scaffold_20
Dpul	0.3751	0.7645	scaffold_21
Dpul	0.2555	0.6529	scaffold_22
Dpul	0.3561	0.7632	scaffold_23
Dpul	0.4026	0.7984	scaffold_24
Dpul	0.5746	0.8750	scaffold_25
Dpul	0.2566	0.6618	scaffold_26
Dpul	0.1809	0.5730	scaffold_27
Dpul	0.4697	0.7788	scaffold_28
Dpul	0.4639	0.8245	scaffold_15
Dpul	0.3776	0.7364	scaffold_14
Dpul	0.6411	0.8541	scaffold_17
Dpul	0.3460	0.6987	scaffold_16
Dpul	0.4795	0.7980	scaffold_11
Dpul	0.5662	0.8593	scaffold_10
Dpul	0.4867	0.8042	scaffold_13
Dpul	0.4663	0.7973	scaffold_12
Dpul	0.3748	0.7424	scaffold_19
Dpul	0.5478	0.8178	scaffold_18
Dpul	0.4476	0.7654	scaffold_29
Dpul	0.3775	0.7429	scaffold_7
Dpul	0.2767	0.7083	scaffold_46
Dpul	0.3202	0.6786	scaffold_44
Dpul	0.3037	0.6797	scaffold_42
Dpul	0.3407	0.7548	scaffold_43
Dpul	0.3990	0.7538	scaffold_40
Dpul	0.2586	0.6441	scaffold_41
Dpul	0.4165	0.7677	scaffold_9
Dpul	0.5591	0.8329	scaffold_8
Dpul	0.3775	0.7970	scaffold_1
Dpul	0.5139	0.7997	scaffold_3
Dpul	0.5486	0.8346	scaffold_2
Dpul	0.4845	0.7974	scaffold_5
Dpul	0.5139	0.8347	scaffold_4
Dpul	0.5564	0.8571	scaffold_6
Dpul	0.3497	0.7908	scaffold_32
Dpul	0.3279	0.6959	scaffold_33
Dpul	0.3427	0.7849	scaffold_31
Dpul	0.3681	0.7411	scaffold_30
Dpul	0.2686	0.6218	scaffold_37
Dpul	0.4885	0.7833	scaffold_36
Dpul	0.2751	0.6727	scaffold_35
Dpul	0.2521	0.6429	scaffold_34
Dpul	0.3543	0.7246	scaffold_39
Dpul	0.2666	0.6329	scaffold_38
Xtro	0.1223	0.3311	NW_004668239.1
Xtro	0.2343	0.5000	NW_004668248.1
Xtro	0.2345	0.3168	NW_004668242.1
Xtro	0.1115	0.2372	NW_004668238.1
Xtro	0.0000	0.0000	NW_004668249.1
Xtro	0.1256	0.3048	NW_004668237.1
Xtro	0.2033	0.4612	NW_004668245.1
Xtro	0.1764	0.3664	NW_004668244.1
Xtro	0.0000	0.0000	NW_004668246.1
Xtro	0.1587	0.3944	NW_004668236.1
Xtro	0.0000	0.0000	NW_004668251.1
Xtro	0.1494	0.8837	NW_004668247.1
Xtro	0.2041	0.8236	NW_004668235.1
Xtro	0.1299	0.3158	NW_004668243.1
Xtro	0.0000	0.0000	NW_004668250.1
Xtro	0.1610	0.4605	NW_004668241.1
Xtro	0.1499	0.2881	NW_004668240.1
Xtro	0.1475	0.3478	NW_004668234.1
Xtro	0.2958	0.5532	NW_004668253.1
Xtro	0.1469	0.3375	NW_004668233.1
Xtro	0.2674	0.4000	NW_004668252.1
Xtro	0.1476	0.3304	NW_004668232.1
Xtro	0.2734	0.5526	NW_004668255.1
Drer	0.1851	0.4267	NC_007117.6
Drer	0.2190	0.4400	NC_007135.6
Drer	0.2169	0.5034	NC_007119.6
Drer	0.1993	0.4241	NC_007113.6
Drer	0.1732	0.3512	NC_007129.6
Drer	0.1866	0.3950	NC_007125.6
Drer	0.1853	0.4429	NC_007123.6
Drer	0.2211	0.5117	NC_007131.6
Drer	0.2322	0.4639	NC_007133.6
Drer	0.2107	0.3834	NC_007121.6
Drer	0.1981	0.3828	NC_007127.6
Drer	0.2734	0.8142	NC_007115.6
Drer	0.2192	0.4265	NC_007118.6
Drer	0.2213	0.4435	NC_007128.6
Drer	0.2285	0.4397	NC_007124.6
Drer	0.1844	0.4008	NC_007122.6
Drer	0.2178	0.4207	NC_007120.6
Drer	0.2422	0.4647	NC_007116.6
Drer	0.2063	0.4290	NC_007126.6
Drer	0.2030	0.4973	NC_007114.6
Drer	0.2128	0.5214	NC_007132.6
Drer	0.2386	0.4827	NC_007136.6
Drer	0.2128	0.4293	NC_007112.6
Drer	0.1810	0.3782	NC_007130.6
Drer	0.1810	0.3500	NC_007134.6
Mmus	0.1427	0.3675	NC_000086.7
Mmus	0.2704	0.5131	NC_000078.6
Mmus	0.3196	0.5342	NC_000080.6
Mmus	0.2806	0.4872	NC_000073.6
Mmus	0.2839	0.5612	NC_000081.6
Mmus	0.0026	0.0349	NC_000087.7
Mmus	0.3048	0.4795	NC_000072.6
Mmus	0.3512	0.6027	NC_000077.6
Mmus	0.2860	0.5130	NC_000076.6
Mmus	0.3333	0.5958	NC_000085.6
Mmus	0.2809	0.4799	NC_000082.6
Mmus	0.2650	0.5216	NC_000067.6
Mmus	0.2849	0.5699	NC_000083.6
Mmus	0.2650	0.5437	NC_000084.6
Mmus	0.3194	0.5573	NC_000071.6
Mmus	0.3274	0.5493	NC_000068.7
Mmus	0.2821	0.5173	NC_000070.6
Mmus	0.3138	0.5151	NC_000075.6
Mmus	0.2262	0.5125	NC_000069.6
Mmus	0.3240	0.5531	NC_000074.6
Mmus	0.2755	0.4608	NC_000079.6
Hsap	0.0222	0.1863	NC_000024.10
Hsap	0.3498	0.5581	NC_000006.12
Hsap	0.3831	0.6030	NC_000011.10
Hsap	0.2038	0.4929	NC_000023.11
Hsap	0.2777	0.5354	NC_000013.11
Hsap	0.4094	0.6184	NC_000003.12
Hsap	0.2974	0.5731	NC_000009.12
Hsap	0.3202	0.6434	NC_000022.11
Hsap	0.3520	0.5824	NC_000001.11
Hsap	0.3052	0.5066	NC_000004.12
Hsap	0.2980	0.5391	NC_000018.10
Hsap	0.3508	0.6624	NC_000016.10
Hsap	0.3288	0.5944	NC_000015.10
Hsap	0.3672	0.5725	NC_000008.11
Hsap	0.3630	0.5775	NC_000002.12
Hsap	0.3615	0.5875	NC_000007.14
Hsap	0.3954	0.5738	NC_000010.11
Hsap	0.2959	0.5937	NC_000014.9
Hsap	0.3860	0.6255	NC_000012.12
Hsap	0.3560	0.6289	NC_000019.10
Hsap	0.4377	0.6679	NC_000017.11
Hsap	0.3353	0.5631	NC_000005.10
Hsap	0.3208	0.5440	NC_000020.11
Hsap	0.2236	0.5046	NC_000021.9
Scer	0.9533	0.9873	NC_001136.10
Scer	0.9652	0.9964	NC_001144.5
Scer	0.9570	0.9894	NC_001147.6
Scer	0.9459	0.9913	NC_001139.9
Cele	0.7235	0.9158	NC_003281.10
Cele	0.5775	0.8447	NC_003284.9
Cele	0.6973	0.9175	NC_003283.11
Cele	0.7364	0.9197	NC_003279.8
Cele	0.6992	0.9148	NC_003280.10
Cele	0.7894	0.9840	NC_003282.8
Crei	0.6000	0.8298	NW_001843747.1
Crei	0.5189	0.7587	NW_001843791.1
Crei	0.4547	0.7615	NW_001843629.1
Crei	0.4440	0.7486	NW_001843867.1
Crei	0.5777	0.7535	NW_001843718.1
Crei	0.4957	0.7626	NW_001843709.1
Crei	0.5212	0.7512	NW_001843666.1
Crei	0.5691	0.8107	NW_001843987.1
Crei	0.4704	0.7182	NW_001843677.1
Crei	0.5958	0.8161	NW_001843472.1
Crei	0.4140	0.6453	NW_001843734.1
Crei	0.3657	0.6683	NW_001843620.1
Crei	0.4207	0.6937	NW_001843759.1
Crei	0.5031	0.7415	NW_001843688.1
Crei	0.4240	0.7255	NW_001843653.1
Crei	0.5305	0.7632	NW_001843834.1
Crei	0.6056	0.8259	NW_001843705.1
Crei	0.6006	0.8239	NW_001843775.1
Crei	0.4705	0.7583	NW_001843607.1
Crei	0.6405	0.8392	NW_001843572.1
Crei	0.5411	0.7823	NW_001843783.1
Crei	0.5098	0.7676	NW_001843643.1
Crei	0.3583	0.5854	NW_001843750.1
Crei	0.6009	0.8203	NW_001843636.1
Crei	0.5268	0.7395	NW_001843642.1
Crei	0.7010	0.9064	NW_001843738.1
Crei	0.6406	0.8163	NW_001843939.1
Crei	0.5546	0.7903	NW_001843888.1
Crei	0.5653	0.7772	NW_001843471.1
Crei	0.6038	0.8079	NW_001843754.1
Crei	0.6293	0.8861	NW_001843510.1
Crei	0.5900	0.8207	NW_001843733.1
Crei	0.5457	0.7586	NW_001843559.1
Crei	0.4872	0.7372	NW_001843727.1
Crei	0.5673	0.7617	NW_001843537.1
Crei	0.4639	0.6580	NW_001843697.1
Crei	0.5813	0.8069	NW_001843787.1
Crei	0.4069	0.6394	NW_001843590.1
Crei	0.4137	0.7059	NW_001843769.1
Vcar	0.3928	0.6732	NW_003307570.1
Vcar	0.4700	0.6832	NW_003307572.1
Vcar	0.6072	0.8235	NW_003307594.1
Vcar	0.3307	0.5481	NW_003307573.1
Vcar	0.5122	0.7056	NW_003307554.1
Vcar	0.3281	0.6345	NW_003307555.1
Vcar	0.3664	0.6116	NW_003307586.1
Vcar	0.3427	0.5337	NW_003307565.1
Vcar	0.5979	0.7484	NW_003307583.1
Vcar	0.5058	0.7139	NW_003307545.1
Vcar	0.5237	0.7037	NW_003307561.1
Vcar	0.4760	0.6718	NW_003307587.1
Vcar	0.4272	0.6463	NW_003307557.1
Vcar	0.4211	0.6433	NW_003307582.1
Vcar	0.3831	0.6250	NW_003307585.1
Vcar	0.5216	0.7365	NW_003307551.1
Vcar	0.4626	0.6917	NW_003307549.1
Vcar	0.5052	0.6629	NW_003307567.1
Vcar	0.4541	0.6214	NW_003307589.1
Vcar	0.5127	0.7000	NW_003307547.1
Vcar	0.3694	0.6200	NW_003307578.1
Vcar	0.4951	0.7206	NW_003307553.1
Vcar	0.6275	0.7319	NW_003307581.1
Vcar	0.4158	0.5971	NW_003307577.1
Vcar	0.4136	0.6239	NW_003307592.1
Vcar	0.4948	0.6852	NW_003307580.1
Vcar	0.3572	0.5928	NW_003307571.1
Vcar	0.3775	0.6073	NW_003307563.1
Vcar	0.4322	0.6522	NW_003307576.1
Vcar	0.4704	0.6481	NW_003307590.1
Vcar	0.5093	0.7277	NW_003307560.1
Vcar	0.4128	0.6161	NW_003307559.1
Vcar	0.4858	0.6947	NW_003307566.1
Vcar	0.4938	0.6686	NW_003307546.1
Vcar	0.4872	0.6546	NW_003307550.1
Vcar	0.4083	0.5891	NW_003307564.1
Vcar	0.4246	0.6368	NW_003307562.1
Vcar	0.4043	0.5833	NW_003307575.1
Vcar	0.5659	0.6975	NW_003307558.1
Vcar	0.4545	0.6973	NW_003307568.1
Vcar	0.5065	0.6739	NW_003307584.1
Vcar	0.5032	0.6816	NW_003307556.1
Vcar	0.4172	0.6731	NW_003307588.1
Vcar	0.4373	0.6025	NW_003307569.1
Vcar	0.4466	0.6825	NW_003307591.1
Vcar	0.4530	0.6667	NW_003307548.1
Vcar	0.6252	0.7701	NW_003307579.1
Vcar	0.4831	0.6415	NW_003307574.1
Vcar	0.4944	0.6877	NW_003307552.1
Vcar	0.4769	0.6727	NW_003307593.1
Mtru	0.2207	0.4808	NC_016414.2
Mtru	0.2198	0.4820	NC_016407.2
Mtru	0.1996	0.4740	NC_016409.2
Mtru	0.2043	0.4716	NC_016413.2
Mtru	0.2069	0.4633	NC_016408.2
Mtru	0.2149	0.4706	NC_016410.2
Mtru	0.2189	0.4833	NC_016411.2
Mtru	0.1487	0.4139	NC_016412.2
Grai	0.0211	0.1806	NW_012160881.1
Grai	0.0877	0.4052	NC_026938.1
Grai	0.1196	0.4539	NC_026936.1
Grai	0.1107	0.4373	NC_026932.1
Grai	0.0975	0.4132	NC_026933.1
Grai	0.0852	0.3800	NC_026931.1
Grai	0.1229	0.4322	NC_026934.1
Grai	0.0950	0.4169	NC_026930.1
Grai	0.1613	0.4786	NC_026937.1
Grai	0.1703	0.4866	NC_026935.1
Grai	0.0998	0.4123	NC_026941.1
Grai	0.1005	0.3992	NC_026929.1
Grai	0.1117	0.4120	NC_026939.1
Grai	0.1071	0.4185	NC_026940.1
Dmel	0.7176	0.8679	NC_004353.4
Dmel	0.6001	0.9218	NT_033778.4
Dmel	0.7215	0.9144	NC_004354.4
Dmel	0.6047	0.9011	NT_037436.4
Dmel	0.6508	0.8912	NT_033779.5
Dmel	0.0088	0.3137	NC_024512.1
Dmel	0.7131	0.9116	NT_033777.3
Agam	0.0916	0.3059	NC_004818.2
Agam	0.1915	0.6155	NT_078265.2
Agam	0.2072	0.6580	NT_078266.2
Agam	0.1002	0.5023	NT_078268.4
Agam	0.0953	0.4832	NT_078267.5
Pdom	0.2056	0.6918	PdomSCFr1.2-0019
Pdom	0.0241	0.2821	PdomSCFr1.2-0020
Pdom	0.1557	0.6701	PdomSCFr1.2-0009
Pdom	0.2035	0.6667	PdomSCFr1.2-0051
Pdom	0.1392	0.6444	PdomSCFr1.2-0005
Pdom	0.1747	0.7558	PdomSCFr1.2-0045
Pdom	0.2227	0.6597	PdomSCFr1.2-0011
Pdom	0.1235	0.6327	PdomSCFr1.2-0052
Pdom	0.1706	0.7581	PdomSCFr1.2-0056
Pdom	0.1261	0.7647	PdomSCFr1.2-0060
Pdom	0.2036	0.6696	PdomSCFr1.2-0036
Pdom	0.0888	0.5632	PdomSCFr1.2-0014
Pdom	0.2153	0.7339	PdomSCFr1.2-0027
Pdom	0.1839	0.6145	PdomSCFr1.2-0055
Pdom	0.1591	0.6396	PdomSCFr1.2-0018
Pdom	0.1619	0.7028	PdomSCFr1.2-0002
Pdom	0.1901	0.6699	PdomSCFr1.2-0033
Pdom	0.0849	0.5941	PdomSCFr1.2-0016
Pdom	0.2592	0.6716	PdomSCFr1.2-0043
Pdom	0.0957	0.5465	PdomSCFr1.2-0012
Pdom	0.1669	0.7935	PdomSCFr1.2-0024
Pdom	0.0607	0.5893	PdomSCFr1.2-0032
Pdom	0.0760	0.5143	PdomSCFr1.2-0034
Pdom	0.2439	0.7038	PdomSCFr1.2-0004
Pdom	0.0971	0.6667	PdomSCFr1.2-0064
Pdom	0.1660	0.6667	PdomSCFr1.2-0001
Pdom	0.1202	0.6824	PdomSCFr1.2-0028
Pdom	0.1921	0.7067	PdomSCFr1.2-0010
Pdom	0.2147	0.6684	PdomSCFr1.2-0013
Pdom	0.1816	0.6795	PdomSCFr1.2-0048
Pdom	0.1142	0.5556	PdomSCFr1.2-0058
Pdom	0.2507	0.7052	PdomSCFr1.2-0022
Pdom	0.3193	0.7090	PdomSCFr1.2-0044
Pdom	0.3048	0.7348	PdomSCFr1.2-0039
Pdom	0.4006	0.7538	PdomSCFr1.2-0047
Pdom	0.2721	0.7402	PdomSCFr1.2-0042
Pdom	0.3274	0.7676	PdomSCFr1.2-0030
Pdom	0.3794	0.7159	PdomSCFr1.2-0057
Pdom	0.0919	0.5294	PdomSCFr1.2-0015
Pdom	0.2098	0.7031	PdomSCFr1.2-0029
Pdom	0.3148	0.7516	PdomSCFr1.2-0038
Pdom	0.3253	0.8079	PdomSCFr1.2-0041
Pdom	0.2629	0.6633	PdomSCFr1.2-0054
Pdom	0.1754	0.6947	PdomSCFr1.2-0007
Pdom	0.1467	0.5804	PdomSCFr1.2-0017
Pdom	0.1513	0.7581	PdomSCFr1.2-0025
Pdom	0.4122	0.8311	PdomSCFr1.2-0046
Pdom	0.0757	0.4783	PdomSCFr1.2-0059
Pdom	0.1502	0.6607	PdomSCFr1.2-0061
Pdom	0.2436	0.7439	PdomSCFr1.2-0053
Pdom	0.1746	0.6549	PdomSCFr1.2-0008
Pdom	0.2624	0.7514	PdomSCFr1.2-0021
Pdom	0.0860	0.5366	PdomSCFr1.2-0023
Pdom	0.1701	0.6506	PdomSCFr1.2-0003
Pdom	0.0770	0.4528	PdomSCFr1.2-0031
Pdom	0.0212	0.3636	PdomSCFr1.2-0050
Pdom	0.1509	0.6552	PdomSCFr1.2-0035
Pdom	0.1908	0.7973	PdomSCFr1.2-0049
Pdom	0.1504	0.5946	PdomSCFr1.2-0037
Pdom	0.1239	0.5714	PdomSCFr1.2-0026
Pdom	0.2390	0.7016	PdomSCFr1.2-0006
Pdom	0.1966	0.6633	PdomSCFr1.2-0040
Dpul	0.2586	0.6441	scaffold_41
Dpul	0.6411	0.8541	scaffold_17
Dpul	0.3279	0.6959	scaffold_33
Dpul	0.5591	0.8329	scaffold_8
Dpul	0.5139	0.7997	scaffold_3
Dpul	0.4867	0.8042	scaffold_13
Dpul	0.2666	0.6329	scaffold_38
Dpul	0.4165	0.7677	scaffold_9
Dpul	0.5564	0.8571	scaffold_6
Dpul	0.3037	0.6797	scaffold_42
Dpul	0.5139	0.8347	scaffold_4
Dpul	0.3427	0.7849	scaffold_31
Dpul	0.3497	0.7908	scaffold_32
Dpul	0.4476	0.7654	scaffold_29
Dpul	0.3561	0.7632	scaffold_23
Dpul	0.3776	0.7364	scaffold_14
Dpul	0.3775	0.7970	scaffold_1
Dpul	0.6025	0.8664	scaffold_20
Dpul	0.3751	0.7645	scaffold_21
Dpul	0.5478	0.8178	scaffold_18
Dpul	0.2521	0.6429	scaffold_34
Dpul	0.2751	0.6727	scaffold_35
Dpul	0.4885	0.7833	scaffold_36
Dpul	0.2566	0.6618	scaffold_26
Dpul	0.4663	0.7973	scaffold_12
Dpul	0.4845	0.7974	scaffold_5
Dpul	0.3748	0.7424	scaffold_19
Dpul	0.3543	0.7246	scaffold_39
Dpul	0.4639	0.8245	scaffold_15
Dpul	0.2686	0.6218	scaffold_37
Dpul	0.5746	0.8750	scaffold_25
Dpul	0.3990	0.7538	scaffold_40
Dpul	0.3681	0.7411	scaffold_30
Dpul	0.3775	0.7429	scaffold_7
Dpul	0.4026	0.7984	scaffold_24
Dpul	0.5662	0.8593	scaffold_10
Dpul	0.1809	0.5730	scaffold_27
Dpul	0.2555	0.6529	scaffold_22
Dpul	0.3460	0.6987	scaffold_16
Dpul	0.2767	0.7083	scaffold_46
Dpul	0.3407	0.7548	scaffold_43
Dpul	0.5486	0.8346	scaffold_2
Dpul	0.3202	0.6786	scaffold_44
Dpul	0.4697	0.7788	scaffold_28
Dpul	0.4795	0.7980	scaffold_11
Xtro	0.0000	0.0000	NW_004668251.1
Xtro	0.1476	0.3304	NW_004668232.1
Xtro	0.1469	0.3375	NW_004668233.1
Xtro	0.1256	0.3048	NW_004668237.1
Xtro	0.2674	0.4000	NW_004668252.1
Xtro	0.2033	0.4612	NW_004668245.1
Xtro	0.1223	0.3311	NW_004668239.1
Xtro	0.1494	0.8837	NW_004668247.1
Xtro	0.1115	0.2372	NW_004668238.1
Xtro	0.2343	0.5000	NW_004668248.1
Xtro	0.0000	0.0000	NW_004668246.1
Xtro	0.1475	0.3478	NW_004668234.1
Xtro	0.1499	0.2881	NW_004668240.1
Xtro	0.2734	0.5526	NW_004668255.1
Xtro	0.0000	0.0000	NW_004668249.1
Xtro	0.0000	0.0000	NW_004668250.1
Xtro	0.1610	0.4605	NW_004668241.1
Xtro	0.2041	0.8236	NW_004668235.1
Xtro	0.1299	0.3158	NW_004668243.1
Xtro	0.2958	0.5532	NW_004668253.1
Xtro	0.2345	0.3168	NW_004668242.1
Xtro	0.1587	0.3944	NW_004668236.1
Xtro	0.1764	0.3664	NW_004668244.1
Drer	0.2734	0.8142	NC_007115.6
Drer	0.1844	0.4008	NC_007122.6
Drer	0.1810	0.3782	NC_007130.6
Drer	0.2192	0.4265	NC_007118.6
Drer	0.2213	0.4435	NC_007128.6
Drer	0.2030	0.4973	NC_007114.6
Drer	0.2422	0.4647	NC_007116.6
Drer	0.2178	0.4207	NC_007120.6
Drer	0.2285	0.4397	NC_007124.6
Drer	0.1810	0.3500	NC_007134.6
Drer	0.1993	0.4241	NC_007113.6
Drer	0.2128	0.4293	NC_007112.6
Drer	0.2107	0.3834	NC_007121.6
Drer	0.2128	0.5214	NC_007132.6
Drer	0.1981	0.3828	NC_007127.6
Drer	0.2211	0.5117	NC_007131.6
Drer	0.1851	0.4267	NC_007117.6
Drer	0.2386	0.4827	NC_007136.6
Drer	0.2322	0.4639	NC_007133.6
Drer	0.2169	0.5034	NC_007119.6
Drer	0.1732	0.3512	NC_007129.6
Drer	0.1853	0.4429	NC_007123.6
Drer	0.1866	0.3950	NC_007125.6
Drer	0.2190	0.4400	NC_007135.6
Drer	0.2063	0.4290	NC_007126.6
Mmus	0.2860	0.5130	NC_000076.6
Mmus	0.3138	0.5151	NC_000075.6
Mmus	0.3194	0.5573	NC_000071.6
Mmus	0.2755	0.4608	NC_000079.6
Mmus	0.3196	0.5342	NC_000080.6
Mmus	0.3048	0.4795	NC_000072.6
Mmus	0.2821	0.5173	NC_000070.6
Mmus	0.3240	0.5531	NC_000074.6
Mmus	0.2849	0.5699	NC_000083.6
Mmus	0.3512	0.6027	NC_000077.6
Mmus	0.2839	0.5612	NC_000081.6
Mmus	0.1427	0.3675	NC_000086.7
Mmus	0.2704	0.5131	NC_000078.6
Mmus	0.2650	0.5216	NC_000067.6
Mmus	0.3274	0.5493	NC_000068.7
Mmus	0.2806	0.4872	NC_000073.6
Mmus	0.3333	0.5958	NC_000085.6
Mmus	0.2650	0.5437	NC_000084.6
Mmus	0.2809	0.4799	NC_000082.6
Mmus	0.2262	0.5125	NC_000069.6
Mmus	0.0026	0.0349	NC_000087.7
Hsap	0.3508	0.6624	NC_000016.10
Hsap	0.3630	0.5775	NC_000002.12
Hsap	0.3831	0.6030	NC_000011.10
Hsap	0.3052	0.5066	NC_000004.12
Hsap	0.3353	0.5631	NC_000005.10
Hsap	0.3672	0.5725	NC_000008.11
Hsap	0.3208	0.5440	NC_000020.11
Hsap	0.4377	0.6679	NC_000017.11
Hsap	0.3560	0.6289	NC_000019.10
Hsap	0.2974	0.5731	NC_000009.12
Hsap	0.3860	0.6255	NC_000012.12
Hsap	0.3202	0.6434	NC_000022.11
Hsap	0.2038	0.4929	NC_000023.11
Hsap	0.2236	0.5046	NC_000021.9
Hsap	0.4094	0.6184	NC_000003.12
Hsap	0.2959	0.5937	NC_000014.9
Hsap	0.3615	0.5875	NC_000007.14
Hsap	0.3288	0.5944	NC_000015.10
Hsap	0.0222	0.1863	NC_000024.10
Hsap	0.3498	0.5581	NC_000006.12
Hsap	0.3954	0.5738	NC_000010.11
Hsap	0.2980	0.5391	NC_000018.10
Hsap	0.3520	0.5824	NC_000001.11
Hsap	0.2777	0.5354	NC_000013.11
