hiLocus	iLocus	Species	Protein
HymHub-v0.3.0-HILC-8	BterILC-04165		XP_012164809.1
HymHub-v0.3.0-HILC-8	CfloILC-25906		XP_011267117.1
HymHub-v0.3.0-HILC-8	HsalILC-14011		XP_011143054.1
HymHub-v0.3.0-HILC-8	PcanILC-00933		XP_014608112.1
HymHub-v0.3.0-HILC-8	PdomILC-06753		XP_015177435.1
HymHub-v0.3.0-HILC-8	NvitILC-08347		XP_008203484.1
HymHub-v0.3.0-HILC-9	AmelILC-05129		XP_006562149.1
HymHub-v0.3.0-HILC-9	BterILC-03799		XP_003395438.1
HymHub-v0.3.0-HILC-9	CfloILC-05935		XP_011251192.1
HymHub-v0.3.0-HILC-9	HsalILC-10929		XP_011140247.1
HymHub-v0.3.0-HILC-9	PcanILC-04211		XP_014600049.1
HymHub-v0.3.0-HILC-9	PdomILC-14812		XP_015189358.1
HymHub-v0.3.0-HILC-9	NvitILC-04080		XP_008212415.1
HymHub-v0.3.0-HILC-10	AmelILC-03272		XP_006558458.1
HymHub-v0.3.0-HILC-10	BterILC-01760		XP_003394286.1
HymHub-v0.3.0-HILC-10	CfloILC-23909		XP_011265618.1
HymHub-v0.3.0-HILC-10	HsalILC-08263		XP_011137716.1
HymHub-v0.3.0-HILC-10	PcanILC-05991		XP_014602809.1
HymHub-v0.3.0-HILC-10	PdomILC-10208		XP_015182756.1
HymHub-v0.3.0-HILC-10	NvitILC-03934		XP_001601352.1
HymHub-v0.3.0-HILC-11	AmelILC-00947		XP_624014.2
HymHub-v0.3.0-HILC-11	BterILC-04821		XP_012165602.1
HymHub-v0.3.0-HILC-11	CfloILC-16566		XP_011260005.1
HymHub-v0.3.0-HILC-11	HsalILC-04274		XP_011155025.1
HymHub-v0.3.0-HILC-11	PcanILC-04666		XP_014600771.1
HymHub-v0.3.0-HILC-11	PdomILC-02891		XP_015171583.1
HymHub-v0.3.0-HILC-11	NvitILC-04477		XP_003424117.1
HymHub-v0.3.0-HILC-12	AmelILC-04026		XP_006569913.1
HymHub-v0.3.0-HILC-12	BterILC-01923		XP_012175947.1
HymHub-v0.3.0-HILC-12	CfloILC-14377		XP_011258224.1
HymHub-v0.3.0-HILC-12	HsalILC-04569		XP_011155251.1
HymHub-v0.3.0-HILC-12	PcanILC-06542		XP_014603657.1
HymHub-v0.3.0-HILC-12	PdomILC-14727		XP_015189274.1
HymHub-v0.3.0-HILC-12	NvitILC-07637		XP_008216478.1
HymHub-v0.3.0-HILC-13	AmelILC-09654		XP_006567452.1
HymHub-v0.3.0-HILC-13	BterILC-06550		XP_003397952.1
HymHub-v0.3.0-HILC-13	CfloILC-21687		XP_011263735.1
HymHub-v0.3.0-HILC-13	HsalILC-25966		XP_011152889.1
HymHub-v0.3.0-HILC-13	PcanILC-09363		XP_014607918.1
HymHub-v0.3.0-HILC-13	PdomILC-10850		XP_015183732.1
HymHub-v0.3.0-HILC-13	NvitILC-10381		NP_001123523.1
HymHub-v0.3.0-HILC-14	AmelILC-05295		XP_006564250.1
HymHub-v0.3.0-HILC-14	BterILC-03765		XP_003395458.1
HymHub-v0.3.0-HILC-14	CfloILC-15220		XP_011258896.1
HymHub-v0.3.0-HILC-14	HsalILC-15593		XP_011144375.1
HymHub-v0.3.0-HILC-14	PcanILC-13214		XP_014613211.1
HymHub-v0.3.0-HILC-14	PdomILC-11753		XP_015184988.1
HymHub-v0.3.0-HILC-14	NvitILC-17048		XP_008208369.1
HymHub-v0.3.0-HILC-15	AmelILC-04995		XP_394533.4
HymHub-v0.3.0-HILC-15	BterILC-03418		XP_003395755.1
HymHub-v0.3.0-HILC-15	CfloILC-02005		XP_011262216.1
HymHub-v0.3.0-HILC-15	HsalILC-23427		XP_011150976.1
HymHub-v0.3.0-HILC-15	PcanILC-10505		XP_014609681.1
HymHub-v0.3.0-HILC-15	PdomILC-03182		XP_015171944.1
HymHub-v0.3.0-HILC-15	NvitILC-09206		XP_003427483.1
HymHub-v0.3.0-HILC-16	AmelILC-05962		XP_006570323.1
HymHub-v0.3.0-HILC-16	BterILC-03563		XP_012164116.1
HymHub-v0.3.0-HILC-16	CfloILC-16585		XP_011260018.1
HymHub-v0.3.0-HILC-16	HsalILC-09884		XP_011139248.1
HymHub-v0.3.0-HILC-16	PcanILC-03254		XP_014598260.1
HymHub-v0.3.0-HILC-16	PdomILC-11568		XP_015184699.1
HymHub-v0.3.0-HILC-16	NvitILC-03317		XP_003424854.1
HymHub-v0.3.0-HILC-17	AmelILC-05341		XP_006564282.1
HymHub-v0.3.0-HILC-17	BterILC-03842		XP_012163799.1
HymHub-v0.3.0-HILC-17	CfloILC-13460		XP_011257561.1
HymHub-v0.3.0-HILC-17	HsalILC-06874		XP_011136558.1
HymHub-v0.3.0-HILC-17	PcanILC-10641		XP_014609821.1
HymHub-v0.3.0-HILC-17	PdomILC-07183		XP_015178080.1
HymHub-v0.3.0-HILC-17	NvitILC-04755		XP_008210320.1
HymHub-v0.3.0-HILC-18	AmelILC-15485		XP_006571829.1
HymHub-v0.3.0-HILC-18	BterILC-00909		XP_012170189.1
HymHub-v0.3.0-HILC-18	CfloILC-11482		XP_011255759.1
HymHub-v0.3.0-HILC-18	HsalILC-05405		XP_011135439.1
HymHub-v0.3.0-HILC-18	PcanILC-00614		XP_014603662.1
HymHub-v0.3.0-HILC-18	PdomILC-13899		XP_015188259.1
HymHub-v0.3.0-HILC-18	NvitILC-00554		XP_008203086.1
HymHub-v0.3.0-HILC-19	AmelILC-07938		XP_006557330.1
HymHub-v0.3.0-HILC-19	BterILC-05833		XP_012166686.1
HymHub-v0.3.0-HILC-19	CfloILC-15286		XP_011258977.1
HymHub-v0.3.0-HILC-19	HsalILC-00782		XP_011137290.1
HymHub-v0.3.0-HILC-19	PcanILC-08583		XP_014606777.1
HymHub-v0.3.0-HILC-19	PdomILC-08406		XP_015180132.1
HymHub-v0.3.0-HILC-19	NvitILC-09766		XP_003427653.1
HymHub-v0.3.0-HILC-20	AmelILC-02000		XP_623928.3
HymHub-v0.3.0-HILC-20	BterILC-00579		XP_003393281.1
HymHub-v0.3.0-HILC-20	CfloILC-07558		XP_011252452.1
HymHub-v0.3.0-HILC-20	HsalILC-03406		XP_011154221.1
HymHub-v0.3.0-HILC-20	PcanILC-12612		XP_014612411.1
HymHub-v0.3.0-HILC-20	PdomILC-12430		XP_015186008.1
HymHub-v0.3.0-HILC-20	NvitILC-13489		XP_001599298.1
HymHub-v0.3.0-HILC-21	AmelILC-13863		XP_006565732.1
HymHub-v0.3.0-HILC-21	BterILC-09794		XP_012171180.1
HymHub-v0.3.0-HILC-21	CfloILC-26988		XP_011267776.1
HymHub-v0.3.0-HILC-21	HsalILC-15248		XP_011144120.1
HymHub-v0.3.0-HILC-21	PcanILC-01233		XP_014612662.1
HymHub-v0.3.0-HILC-21	PdomILC-04172		XP_015173413.1
HymHub-v0.3.0-HILC-21	NvitILC-06785		XP_008213425.1
HymHub-v0.3.0-HILC-22	AmelILC-11359		XP_006566383.1
HymHub-v0.3.0-HILC-22	BterILC-08159		XP_003398920.1
HymHub-v0.3.0-HILC-22	CfloILC-19770		XP_011262362.1
HymHub-v0.3.0-HILC-22	HsalILC-03701		XP_011154495.1
HymHub-v0.3.0-HILC-22	PcanILC-04630		XP_014600763.1
HymHub-v0.3.0-HILC-22	PdomILC-03019		XP_015171669.1
HymHub-v0.3.0-HILC-22	NvitILC-08983		XP_001604665.2
HymHub-v0.3.0-HILC-23	AmelILC-02444		XP_006561242.1
HymHub-v0.3.0-HILC-23	BterILC-00961		XP_003393748.1
HymHub-v0.3.0-HILC-23	CfloILC-12072		XP_011256263.1
HymHub-v0.3.0-HILC-23	HsalILC-22437		XP_011150254.1
HymHub-v0.3.0-HILC-23	PcanILC-13286		XP_014613281.1
HymHub-v0.3.0-HILC-23	PdomILC-11221		XP_015184301.1
HymHub-v0.3.0-HILC-23	NvitILC-06913		XP_008213580.1
HymHub-v0.3.0-HILC-24	AmelILC-10438		XP_006566296.1
HymHub-v0.3.0-HILC-24	BterILC-06812		XP_012168322.1
HymHub-v0.3.0-HILC-24	CfloILC-12436		XP_011256758.1
HymHub-v0.3.0-HILC-24	HsalILC-23272		XP_011150845.1
HymHub-v0.3.0-HILC-24	PcanILC-00813		XP_014605472.1
HymHub-v0.3.0-HILC-24	PdomILC-07783		XP_015179238.1
HymHub-v0.3.0-HILC-24	NvitILC-10647		XP_008207373.1
HymHub-v0.3.0-HILC-25	AmelILC-05769		XP_006569544.1
HymHub-v0.3.0-HILC-25	BterILC-02121		XP_003394504.1
HymHub-v0.3.0-HILC-25	CfloILC-26925		XP_011267732.1
HymHub-v0.3.0-HILC-25	HsalILC-25409		XP_011152415.1
HymHub-v0.3.0-HILC-25	PcanILC-11104		XP_014610454.1
HymHub-v0.3.0-HILC-25	PdomILC-03555		XP_015172597.1
HymHub-v0.3.0-HILC-25	NvitILC-12886		XP_008202004.1
HymHub-v0.3.0-HILC-26	AmelILC-12193		XP_006561267.1
HymHub-v0.3.0-HILC-26	BterILC-08710		XP_012170005.1
HymHub-v0.3.0-HILC-26	CfloILC-08171		XP_011253056.1
HymHub-v0.3.0-HILC-26	HsalILC-13919		XP_011142917.1
HymHub-v0.3.0-HILC-26	PcanILC-00659		XP_014603730.1
HymHub-v0.3.0-HILC-26	PdomILC-02816		XP_015171227.1
HymHub-v0.3.0-HILC-26	NvitILC-12323		XP_008217573.1
HymHub-v0.3.0-HILC-27	AmelILC-09000		XP_006569869.1
HymHub-v0.3.0-HILC-27	BterILC-05903		XP_012166984.1
HymHub-v0.3.0-HILC-27	CfloILC-00894		XP_011252747.1
HymHub-v0.3.0-HILC-27	HsalILC-03096		XP_011153878.1
HymHub-v0.3.0-HILC-27	PcanILC-14924		XP_014614823.1
HymHub-v0.3.0-HILC-27	PdomILC-12954		XP_015186742.1
HymHub-v0.3.0-HILC-27	NvitILC-04379		XP_008212705.1
HymHub-v0.3.0-HILC-28	AmelILC-11960		XP_395387.5
HymHub-v0.3.0-HILC-28	BterILC-07904		XP_012169369.1
HymHub-v0.3.0-HILC-28	CfloILC-03633		XP_011268925.1
HymHub-v0.3.0-HILC-28	HsalILC-16483		XP_011145114.1
HymHub-v0.3.0-HILC-28	PcanILC-04626		XP_014600810.1
HymHub-v0.3.0-HILC-28	PdomILC-03025		XP_015171546.1
HymHub-v0.3.0-HILC-28	NvitILC-23230		XP_001598995.2
HymHub-v0.3.0-HILC-29	AmelILC-00146		XP_006558647.1
HymHub-v0.3.0-HILC-29	BterILC-05166		XP_012165984.1
HymHub-v0.3.0-HILC-29	CfloILC-09034		XP_011253769.1
HymHub-v0.3.0-HILC-29	HsalILC-09983		XP_011139334.1
HymHub-v0.3.0-HILC-29	PcanILC-04905		XP_014601199.1
HymHub-v0.3.0-HILC-29	PdomILC-09870		XP_015182324.1
HymHub-v0.3.0-HILC-29	NvitILC-13634		XP_008202473.1
HymHub-v0.3.0-HILC-30	AmelILC-05303		XP_006564287.1
HymHub-v0.3.0-HILC-30	BterILC-03761		XP_012163900.1
HymHub-v0.3.0-HILC-30	CfloILC-05923		XP_011251175.1
HymHub-v0.3.0-HILC-30	HsalILC-11021		XP_011140327.1
HymHub-v0.3.0-HILC-30	PcanILC-10369		XP_014609506.1
HymHub-v0.3.0-HILC-30	PdomILC-07234		XP_015178189.1
HymHub-v0.3.0-HILC-30	NvitILC-08774		XP_008211214.1
HymHub-v0.3.0-HILC-31	AmelILC-12225		XP_006562323.1
HymHub-v0.3.0-HILC-31	BterILC-08623		XP_012169931.1
HymHub-v0.3.0-HILC-31	CfloILC-01189		XP_011254683.1
HymHub-v0.3.0-HILC-31	HsalILC-26565		XP_011153473.1
HymHub-v0.3.0-HILC-31	PcanILC-08119		XP_014606070.1
HymHub-v0.3.0-HILC-31	PdomILC-03799		XP_015172986.1
HymHub-v0.3.0-HILC-31	NvitILC-04431		XP_001607435.2
HymHub-v0.3.0-HILC-32	AmelILC-16343		XP_006572241.1
HymHub-v0.3.0-HILC-32	BterILC-12905		XP_003402526.2
HymHub-v0.3.0-HILC-32	CfloILC-11580		XP_011255816.1
HymHub-v0.3.0-HILC-32	HsalILC-19647		XP_011147828.1
HymHub-v0.3.0-HILC-32	PcanILC-05038		XP_014601401.1
HymHub-v0.3.0-HILC-32	PdomILC-12202		XP_015185798.1
HymHub-v0.3.0-HILC-32	NvitILC-03077		XP_001608068.2
HymHub-v0.3.0-HILC-33	AmelILC-05955		XP_006570295.1
HymHub-v0.3.0-HILC-33	BterILC-03571		XP_012164109.1
HymHub-v0.3.0-HILC-33	CfloILC-10926		XP_011255251.1
HymHub-v0.3.0-HILC-33	HsalILC-02640		XP_011152521.1
HymHub-v0.3.0-HILC-33	PcanILC-07333		XP_014604933.1
HymHub-v0.3.0-HILC-33	PdomILC-04737		XP_015174265.1
HymHub-v0.3.0-HILC-33	NvitILC-11825		XP_008212191.1
HymHub-v0.3.0-HILC-34	AmelILC-02447		XP_394362.2
HymHub-v0.3.0-HILC-34	BterILC-00958		XP_003393745.1
HymHub-v0.3.0-HILC-34	CfloILC-04108		XP_011269397.1
HymHub-v0.3.0-HILC-34	HsalILC-22536		XP_011150374.1
HymHub-v0.3.0-HILC-34	PcanILC-13746		XP_014613898.1
HymHub-v0.3.0-HILC-34	PdomILC-14519		XP_015188999.1
HymHub-v0.3.0-HILC-34	NvitILC-06914		XP_008213588.1
HymHub-v0.3.0-HILC-35	AmelILC-01805		XP_006571452.1
HymHub-v0.3.0-HILC-35	BterILC-00176		XP_012175870.1
HymHub-v0.3.0-HILC-35	CfloILC-26564		XP_011267503.1
HymHub-v0.3.0-HILC-35	HsalILC-00979		XP_011139049.1
HymHub-v0.3.0-HILC-35	PcanILC-00160		XP_014615113.1
HymHub-v0.3.0-HILC-35	PdomILC-05797		XP_015176188.1
HymHub-v0.3.0-HILC-35	NvitILC-06950		XP_008213771.1
HymHub-v0.3.0-HILC-36	AmelILC-06334		XP_003250102.2
HymHub-v0.3.0-HILC-36	BterILC-04118		XP_012164773.1
HymHub-v0.3.0-HILC-36	CfloILC-13050		XP_011257205.1
HymHub-v0.3.0-HILC-36	HsalILC-18509		XP_011146789.1
HymHub-v0.3.0-HILC-36	PcanILC-10661		XP_014609838.1
HymHub-v0.3.0-HILC-36	PdomILC-07204		XP_015178205.1
HymHub-v0.3.0-HILC-36	NvitILC-07538		XP_008207840.1
HymHub-v0.3.0-HILC-37	AmelILC-08098		XP_003249515.1
HymHub-v0.3.0-HILC-37	BterILC-14565		XP_003403158.1
HymHub-v0.3.0-HILC-37	CfloILC-05105		XP_011250537.1
HymHub-v0.3.0-HILC-37	HsalILC-15115		XP_011144049.1
HymHub-v0.3.0-HILC-37	PcanILC-06689		XP_014603898.1
HymHub-v0.3.0-HILC-37	PdomILC-08227		XP_015179780.1
HymHub-v0.3.0-HILC-37	NvitILC-00225		XP_008202804.1
HymHub-v0.3.0-HILC-38	AmelILC-10592		XP_006566286.1
HymHub-v0.3.0-HILC-38	BterILC-07146		XP_012167984.1
HymHub-v0.3.0-HILC-38	CfloILC-14887		XP_011258635.1
HymHub-v0.3.0-HILC-38	HsalILC-17935		XP_011146223.1
HymHub-v0.3.0-HILC-38	PcanILC-03327		XP_014598535.1
HymHub-v0.3.0-HILC-38	PdomILC-00959		XP_015183018.1
HymHub-v0.3.0-HILC-38	NvitILC-02720		XP_008216064.1
HymHub-v0.3.0-HILC-39	AmelILC-01588		XP_006571272.1
HymHub-v0.3.0-HILC-39	BterILC-00461		XP_003393196.1
HymHub-v0.3.0-HILC-39	CfloILC-09461		XP_011254023.1
HymHub-v0.3.0-HILC-39	HsalILC-23503		XP_011151092.1
HymHub-v0.3.0-HILC-39	PcanILC-13858		XP_014614089.1
HymHub-v0.3.0-HILC-39	PdomILC-01848		XP_015190817.1
HymHub-v0.3.0-HILC-39	NvitILC-00247		XP_003425530.1
HymHub-v0.3.0-HILC-40	AmelILC-11489		XP_006566517.1
HymHub-v0.3.0-HILC-40	BterILC-08372		XP_003399343.1
HymHub-v0.3.0-HILC-40	CfloILC-02329		XP_011264606.1
HymHub-v0.3.0-HILC-40	HsalILC-25763		XP_011152769.1
HymHub-v0.3.0-HILC-40	PcanILC-03972		XP_014599807.1
HymHub-v0.3.0-HILC-40	PdomILC-04515		XP_015174054.1
HymHub-v0.3.0-HILC-40	NvitILC-10151		XP_003426518.1
HymHub-v0.3.0-HILC-41	AmelILC-00231		XP_623111.3
HymHub-v0.3.0-HILC-41	BterILC-12764		XP_012174189.1
HymHub-v0.3.0-HILC-41	CfloILC-24923		XP_011266349.1
HymHub-v0.3.0-HILC-41	HsalILC-16861		XP_011145403.1
HymHub-v0.3.0-HILC-41	PcanILC-07514		XP_014605148.1
HymHub-v0.3.0-HILC-41	PdomILC-10069		XP_015182621.1
HymHub-v0.3.0-HILC-41	NvitILC-23030		XP_001607995.1
HymHub-v0.3.0-HILC-42	AmelILC-15910		XP_006572053.1
HymHub-v0.3.0-HILC-42	BterILC-05534		XP_012166354.1
HymHub-v0.3.0-HILC-42	CfloILC-07939		XP_011252815.1
HymHub-v0.3.0-HILC-42	HsalILC-06203		XP_011136084.1
HymHub-v0.3.0-HILC-42	PcanILC-09028		XP_014607478.1
HymHub-v0.3.0-HILC-42	PdomILC-01353		XP_015188303.1
HymHub-v0.3.0-HILC-42	NvitILC-00802		XP_003424996.1
HymHub-v0.3.0-HILC-43	AmelILC-04676		XP_392312.3
HymHub-v0.3.0-HILC-43	BterILC-03188		XP_012163211.1
HymHub-v0.3.0-HILC-43	CfloILC-09195		XP_011253896.1
HymHub-v0.3.0-HILC-43	HsalILC-20675		XP_011148714.1
HymHub-v0.3.0-HILC-43	PcanILC-03612		XP_014599042.1
HymHub-v0.3.0-HILC-43	PdomILC-03322		XP_015171966.1
HymHub-v0.3.0-HILC-43	NvitILC-08934		XP_008211379.1
HymHub-v0.3.0-HILC-44	AmelILC-08972		XP_006569896.1
HymHub-v0.3.0-HILC-44	BterILC-12024		XP_003402001.1
HymHub-v0.3.0-HILC-44	CfloILC-05770		XP_011251084.1
HymHub-v0.3.0-HILC-44	HsalILC-03378		XP_011154180.1
HymHub-v0.3.0-HILC-44	PcanILC-00095		XP_014615532.1
HymHub-v0.3.0-HILC-44	PdomILC-05862		XP_015176216.1
HymHub-v0.3.0-HILC-44	NvitILC-08333		XP_001603043.2
HymHub-v0.3.0-HILC-45	AmelILC-10787		XP_006557538.1
HymHub-v0.3.0-HILC-45	BterILC-05297		XP_012166106.1
HymHub-v0.3.0-HILC-45	CfloILC-18139		XP_011261142.1
HymHub-v0.3.0-HILC-45	HsalILC-13252		XP_011142345.1
HymHub-v0.3.0-HILC-45	PcanILC-05241		XP_014601708.1
HymHub-v0.3.0-HILC-45	PdomILC-05385		XP_015175495.1
HymHub-v0.3.0-HILC-45	NvitILC-01115		XP_001604560.2
HymHub-v0.3.0-HILC-46	AmelILC-15483		XP_006571828.1
HymHub-v0.3.0-HILC-46	BterILC-08988		XP_003399747.1
HymHub-v0.3.0-HILC-46	CfloILC-02560		XP_011267213.1
HymHub-v0.3.0-HILC-46	HsalILC-12592		XP_011141676.1
HymHub-v0.3.0-HILC-46	PcanILC-05501		XP_014602109.1
HymHub-v0.3.0-HILC-46	PdomILC-00350		XP_015173319.1
HymHub-v0.3.0-HILC-46	NvitILC-03124		XP_008216102.1
HymHub-v0.3.0-HILC-47	AmelILC-15719		XP_006571950.1
HymHub-v0.3.0-HILC-47	BterILC-03277		XP_003395289.1
HymHub-v0.3.0-HILC-47	CfloILC-08364		XP_011253201.1
HymHub-v0.3.0-HILC-47	HsalILC-01965		XP_011146295.1
HymHub-v0.3.0-HILC-47	PcanILC-00696		XP_014603304.1
HymHub-v0.3.0-HILC-47	PdomILC-02777		XP_015171142.1
HymHub-v0.3.0-HILC-47	NvitILC-02761		XP_008215529.1
HymHub-v0.3.0-HILC-48	AmelILC-11154		XP_006563374.1
HymHub-v0.3.0-HILC-48	BterILC-07700		XP_012168812.1
HymHub-v0.3.0-HILC-48	CfloILC-27047		XP_011267852.1
HymHub-v0.3.0-HILC-48	HsalILC-21782		XP_011149624.1
HymHub-v0.3.0-HILC-48	PcanILC-02560		XP_014616657.1
HymHub-v0.3.0-HILC-48	PdomILC-02419		XP_015191642.1
HymHub-v0.3.0-HILC-48	NvitILC-02297		XP_008215129.1
HymHub-v0.3.0-HILC-49	AmelILC-08898		XP_006569784.1
HymHub-v0.3.0-HILC-49	BterILC-12015		XP_003402056.1
HymHub-v0.3.0-HILC-49	CfloILC-09385		XP_011253951.1
HymHub-v0.3.0-HILC-49	HsalILC-14373		XP_011143410.1
HymHub-v0.3.0-HILC-49	PcanILC-05659		XP_014602289.1
HymHub-v0.3.0-HILC-49	PdomILC-01546		XP_015189494.1
HymHub-v0.3.0-HILC-49	NvitILC-15998		XP_003426298.1
HymHub-v0.3.0-HILC-50	AmelILC-14710		XP_006563614.1
HymHub-v0.3.0-HILC-50	BterILC-10681		XP_012172164.1
HymHub-v0.3.0-HILC-50	CfloILC-17563		XP_011260848.1
HymHub-v0.3.0-HILC-50	HsalILC-21499		XP_011149404.1
HymHub-v0.3.0-HILC-50	PcanILC-05292		XP_014601724.1
HymHub-v0.3.0-HILC-50	PdomILC-03248		XP_015171998.1
HymHub-v0.3.0-HILC-50	NvitILC-18026		XP_001603649.2
HymHub-v0.3.0-HILC-51	AmelILC-13973		XP_006565866.1
HymHub-v0.3.0-HILC-51	BterILC-09994		XP_003400530.2
HymHub-v0.3.0-HILC-51	CfloILC-07681		XP_011252617.1
HymHub-v0.3.0-HILC-51	HsalILC-22172		XP_011149976.1
HymHub-v0.3.0-HILC-51	PcanILC-02813		XP_014597754.1
HymHub-v0.3.0-HILC-51	PdomILC-10454		XP_015183040.1
HymHub-v0.3.0-HILC-51	NvitILC-03887		XP_008207953.1
HymHub-v0.3.0-HILC-52	AmelILC-03163		XP_392192.2
HymHub-v0.3.0-HILC-52	BterILC-01110		XP_012172532.1
HymHub-v0.3.0-HILC-52	CfloILC-14610		XP_011258472.1
HymHub-v0.3.0-HILC-52	HsalILC-22137		XP_011149909.1
HymHub-v0.3.0-HILC-52	PcanILC-10743		XP_014609958.1
HymHub-v0.3.0-HILC-52	PdomILC-07469		XP_015178644.1
HymHub-v0.3.0-HILC-52	NvitILC-00139		XP_001604604.3
HymHub-v0.3.0-HILC-53	AmelILC-01936		XP_006571587.1
HymHub-v0.3.0-HILC-53	BterILC-00098		XP_012166738.1
HymHub-v0.3.0-HILC-53	CfloILC-08436		XP_011253272.1
HymHub-v0.3.0-HILC-53	HsalILC-03126		XP_011153919.1
HymHub-v0.3.0-HILC-53	PcanILC-12621		XP_014612440.1
HymHub-v0.3.0-HILC-53	PdomILC-14671		XP_015189190.1
HymHub-v0.3.0-HILC-53	NvitILC-11148		XP_008202226.1
HymHub-v0.3.0-HILC-54	AmelILC-08323		XP_006561501.1
HymHub-v0.3.0-HILC-54	BterILC-05851		XP_003397380.1
HymHub-v0.3.0-HILC-54	CfloILC-27252		XP_011267978.1
HymHub-v0.3.0-HILC-54	HsalILC-13824		XP_011142838.1
HymHub-v0.3.0-HILC-54	PcanILC-02360		XP_014616438.1
HymHub-v0.3.0-HILC-54	PdomILC-04448		XP_015174038.1
HymHub-v0.3.0-HILC-54	NvitILC-03215		XP_008215985.1
HymHub-v0.3.0-HILC-55	AmelILC-10211		XP_395082.4
HymHub-v0.3.0-HILC-55	BterILC-07274		XP_012167833.1
HymHub-v0.3.0-HILC-55	CfloILC-08964		XP_011253692.1
HymHub-v0.3.0-HILC-55	HsalILC-15602		XP_011144390.1
HymHub-v0.3.0-HILC-55	PcanILC-08435		XP_014606533.1
HymHub-v0.3.0-HILC-55	PdomILC-02651		XP_015171245.1
HymHub-v0.3.0-HILC-55	NvitILC-02631		XP_008215392.1
HymHub-v0.3.0-HILC-56	AmelILC-13959		XP_006565851.1
HymHub-v0.3.0-HILC-56	BterILC-09892		XP_012171284.1
HymHub-v0.3.0-HILC-56	CfloILC-22214		XP_011264215.1
HymHub-v0.3.0-HILC-56	HsalILC-14121		XP_011143171.1
