hiLocus	iLocus	Species	Protein
HymHub-v0.3.0-HILC-9	AmelILC-05962		XP_006570323.1
HymHub-v0.3.0-HILC-9	BterILC-03563		XP_012164116.1
HymHub-v0.3.0-HILC-9	CfloILC-16585		XP_011260018.1
HymHub-v0.3.0-HILC-9	HsalILC-09884		XP_011139248.1
HymHub-v0.3.0-HILC-9	PcanILC-03254		XP_014598260.1
HymHub-v0.3.0-HILC-9	PdtlILC-14036		PdomMRNAr1.2-07680.1
HymHub-v0.3.0-HILC-9	NvitILC-03317		XP_003424854.1
HymHub-v0.3.0-HILC-10	AmelILC-05341		XP_006564282.1
HymHub-v0.3.0-HILC-10	BterILC-03842		XP_012163799.1
HymHub-v0.3.0-HILC-10	CfloILC-13460		XP_011257561.1
HymHub-v0.3.0-HILC-10	HsalILC-06874		XP_011136558.1
HymHub-v0.3.0-HILC-10	PcanILC-10641		XP_014609821.1
HymHub-v0.3.0-HILC-10	PdtlILC-08894		PdomMRNAr1.2-02236.1
HymHub-v0.3.0-HILC-10	NvitILC-04755		XP_008210320.1
HymHub-v0.3.0-HILC-11	AmelILC-07938		XP_006557330.1
HymHub-v0.3.0-HILC-11	BterILC-05833		XP_012166686.1
HymHub-v0.3.0-HILC-11	CfloILC-15286		XP_011258977.1
HymHub-v0.3.0-HILC-11	HsalILC-00782		XP_011137290.1
HymHub-v0.3.0-HILC-11	PcanILC-08583		XP_014606777.1
HymHub-v0.3.0-HILC-11	PdtlILC-10304		PdomMRNAr1.2-04690.1
HymHub-v0.3.0-HILC-11	NvitILC-09766		XP_003427653.1
HymHub-v0.3.0-HILC-12	AmelILC-02000		XP_623928.3
HymHub-v0.3.0-HILC-12	BterILC-00579		XP_003393281.1
HymHub-v0.3.0-HILC-12	CfloILC-07558		XP_011252452.1
HymHub-v0.3.0-HILC-12	HsalILC-03406		XP_011154221.1
HymHub-v0.3.0-HILC-12	PcanILC-12612		XP_014612411.1
HymHub-v0.3.0-HILC-12	PdtlILC-15110		PdomMRNAr1.2-02990.1
HymHub-v0.3.0-HILC-12	NvitILC-13489		XP_001599298.1
HymHub-v0.3.0-HILC-13	AmelILC-13863		XP_006565732.1
HymHub-v0.3.0-HILC-13	BterILC-09794		XP_012171180.1
HymHub-v0.3.0-HILC-13	CfloILC-26988		XP_011267776.1
HymHub-v0.3.0-HILC-13	HsalILC-15248		XP_011144120.1
HymHub-v0.3.0-HILC-13	PcanILC-01233		XP_014612662.1
HymHub-v0.3.0-HILC-13	PdtlILC-05336		PdomMRNAr1.2-10528.1
HymHub-v0.3.0-HILC-13	NvitILC-06785		XP_008213425.1
HymHub-v0.3.0-HILC-14	AmelILC-11359		XP_006566383.1
HymHub-v0.3.0-HILC-14	BterILC-08159		XP_003398920.1
HymHub-v0.3.0-HILC-14	CfloILC-19770		XP_011262362.1
HymHub-v0.3.0-HILC-14	HsalILC-03701		XP_011154495.1
HymHub-v0.3.0-HILC-14	PcanILC-04630		XP_014600763.1
HymHub-v0.3.0-HILC-14	PdtlILC-03840		PdomMRNAr1.2-08803.1
HymHub-v0.3.0-HILC-14	NvitILC-08983		XP_001604665.2
HymHub-v0.3.0-HILC-15	AmelILC-10438		XP_006566296.1
HymHub-v0.3.0-HILC-15	BterILC-06812		XP_012168322.1
HymHub-v0.3.0-HILC-15	CfloILC-12436		XP_011256758.1
HymHub-v0.3.0-HILC-15	HsalILC-23272		XP_011150845.1
HymHub-v0.3.0-HILC-15	PcanILC-00813		XP_014605472.1
HymHub-v0.3.0-HILC-15	PdtlILC-09607		PdomMRNAr1.2-05949.1
HymHub-v0.3.0-HILC-15	NvitILC-10647		XP_008207373.1
HymHub-v0.3.0-HILC-16	AmelILC-12193		XP_006561267.1
HymHub-v0.3.0-HILC-16	BterILC-08710		XP_012170005.1
HymHub-v0.3.0-HILC-16	CfloILC-08171		XP_011253056.1
HymHub-v0.3.0-HILC-16	HsalILC-13919		XP_011142917.1
HymHub-v0.3.0-HILC-16	PcanILC-00659		XP_014603730.1
HymHub-v0.3.0-HILC-16	PdtlILC-03575		PdomMRNAr1.2-06226.1
HymHub-v0.3.0-HILC-16	NvitILC-12323		XP_008217573.1
HymHub-v0.3.0-HILC-17	AmelILC-09000		XP_006569869.1
HymHub-v0.3.0-HILC-17	BterILC-05903		XP_012166984.1
HymHub-v0.3.0-HILC-17	CfloILC-00894		XP_011252747.1
HymHub-v0.3.0-HILC-17	HsalILC-03096		XP_011153878.1
HymHub-v0.3.0-HILC-17	PcanILC-14924		XP_014614823.1
HymHub-v0.3.0-HILC-17	PdtlILC-15789		PdomMRNAr1.2-11176.1
HymHub-v0.3.0-HILC-17	NvitILC-04379		XP_008212705.1
HymHub-v0.3.0-HILC-18	AmelILC-11960		XP_395387.5
HymHub-v0.3.0-HILC-18	BterILC-07904		XP_012169369.1
HymHub-v0.3.0-HILC-18	CfloILC-03633		XP_011268925.1
HymHub-v0.3.0-HILC-18	HsalILC-16483		XP_011145114.1
HymHub-v0.3.0-HILC-18	PcanILC-04626		XP_014600810.1
HymHub-v0.3.0-HILC-18	PdtlILC-03848		PdomMRNAr1.2-02918.1
HymHub-v0.3.0-HILC-18	NvitILC-23230		XP_001598995.2
HymHub-v0.3.0-HILC-19	AmelILC-00146		XP_006558647.1
HymHub-v0.3.0-HILC-19	BterILC-05166		XP_012165984.1
HymHub-v0.3.0-HILC-19	CfloILC-09034		XP_011253769.1
HymHub-v0.3.0-HILC-19	HsalILC-09983		XP_011139334.1
HymHub-v0.3.0-HILC-19	PcanILC-04905		XP_014601199.1
HymHub-v0.3.0-HILC-19	PdtlILC-12034		PdomMRNAr1.2-02037.1
HymHub-v0.3.0-HILC-19	NvitILC-13634		XP_008202473.1
HymHub-v0.3.0-HILC-20	AmelILC-12225		XP_006562323.1
HymHub-v0.3.0-HILC-20	BterILC-08623		XP_012169931.1
HymHub-v0.3.0-HILC-20	CfloILC-01189		XP_011254683.1
HymHub-v0.3.0-HILC-20	HsalILC-26565		XP_011153473.1
HymHub-v0.3.0-HILC-20	PcanILC-08119		XP_014606070.1
HymHub-v0.3.0-HILC-20	PdtlILC-04850		PdomMRNAr1.2-02774.1
HymHub-v0.3.0-HILC-20	NvitILC-04431		XP_001607435.2
HymHub-v0.3.0-HILC-21	AmelILC-16343		XP_006572241.1
HymHub-v0.3.0-HILC-21	BterILC-12905		XP_003402526.2
HymHub-v0.3.0-HILC-21	CfloILC-11580		XP_011255816.1
HymHub-v0.3.0-HILC-21	HsalILC-19647		XP_011147828.1
HymHub-v0.3.0-HILC-21	PcanILC-05038		XP_014601401.1
HymHub-v0.3.0-HILC-21	PdtlILC-14862		PdomMRNAr1.2-11669.1
HymHub-v0.3.0-HILC-21	NvitILC-03077		XP_001608068.2
HymHub-v0.3.0-HILC-22	AmelILC-02447		XP_394362.2
HymHub-v0.3.0-HILC-22	BterILC-00958		XP_003393745.1
HymHub-v0.3.0-HILC-22	CfloILC-04108		XP_011269397.1
HymHub-v0.3.0-HILC-22	HsalILC-22536		XP_011150374.1
HymHub-v0.3.0-HILC-22	PcanILC-13746		XP_014613898.1
HymHub-v0.3.0-HILC-22	PdtlILC-17629		PdomMRNAr1.2-08708.1
HymHub-v0.3.0-HILC-22	NvitILC-06914		XP_008213588.1
HymHub-v0.3.0-HILC-23	AmelILC-01805		XP_006571452.1
HymHub-v0.3.0-HILC-23	BterILC-00176		XP_012175870.1
HymHub-v0.3.0-HILC-23	CfloILC-26564		XP_011267503.1
HymHub-v0.3.0-HILC-23	HsalILC-00979		XP_011139049.1
HymHub-v0.3.0-HILC-23	PcanILC-00160		XP_014615113.1
HymHub-v0.3.0-HILC-23	PdtlILC-07278		PdomMRNAr1.2-10704.1
HymHub-v0.3.0-HILC-23	NvitILC-06950		XP_008213771.1
HymHub-v0.3.0-HILC-24	AmelILC-06334		XP_003250102.2
HymHub-v0.3.0-HILC-24	BterILC-04118		XP_012164773.1
HymHub-v0.3.0-HILC-24	CfloILC-13050		XP_011257205.1
HymHub-v0.3.0-HILC-24	HsalILC-18509		XP_011146789.1
HymHub-v0.3.0-HILC-24	PcanILC-10661		XP_014609838.1
HymHub-v0.3.0-HILC-24	PdtlILC-08921		PdomMRNAr1.2-08933.1
HymHub-v0.3.0-HILC-24	NvitILC-07538		XP_008207840.1
HymHub-v0.3.0-HILC-25	AmelILC-08098		XP_003249515.1
HymHub-v0.3.0-HILC-25	BterILC-14565		XP_003403158.1
HymHub-v0.3.0-HILC-25	CfloILC-05105		XP_011250537.1
HymHub-v0.3.0-HILC-25	HsalILC-15115		XP_011144049.1
HymHub-v0.3.0-HILC-25	PcanILC-06689		XP_014603898.1
HymHub-v0.3.0-HILC-25	PdtlILC-10101		PdomMRNAr1.2-10161.1
HymHub-v0.3.0-HILC-25	NvitILC-00225		XP_008202804.1
HymHub-v0.3.0-HILC-26	AmelILC-10592		XP_006566286.1
HymHub-v0.3.0-HILC-26	BterILC-07146		XP_012167984.1
HymHub-v0.3.0-HILC-26	CfloILC-14887		XP_011258635.1
HymHub-v0.3.0-HILC-26	HsalILC-17935		XP_011146223.1
HymHub-v0.3.0-HILC-26	PcanILC-03327		XP_014598535.1
HymHub-v0.3.0-HILC-26	PdtlILC-01188		PdomMRNAr1.2-02852.1
HymHub-v0.3.0-HILC-26	NvitILC-02720		XP_008216064.1
HymHub-v0.3.0-HILC-27	AmelILC-00231		XP_623111.3
HymHub-v0.3.0-HILC-27	BterILC-12764		XP_012174189.1
HymHub-v0.3.0-HILC-27	CfloILC-24923		XP_011266349.1
HymHub-v0.3.0-HILC-27	HsalILC-16861		XP_011145403.1
HymHub-v0.3.0-HILC-27	PcanILC-07514		XP_014605148.1
HymHub-v0.3.0-HILC-27	PdtlILC-12267		PdomMRNAr1.2-09656.1
HymHub-v0.3.0-HILC-27	NvitILC-23030		XP_001607995.1
HymHub-v0.3.0-HILC-28	AmelILC-11489		XP_006566517.1
HymHub-v0.3.0-HILC-28	BterILC-08372		XP_003399343.1
HymHub-v0.3.0-HILC-28	CfloILC-02329		XP_011264606.1
HymHub-v0.3.0-HILC-28	HsalILC-25763		XP_011152769.1
HymHub-v0.3.0-HILC-28	PcanILC-03972		XP_014599807.1
HymHub-v0.3.0-HILC-28	PdtlILC-05719		PdomMRNAr1.2-00795.1
HymHub-v0.3.0-HILC-28	NvitILC-10151		XP_003426518.1
HymHub-v0.3.0-HILC-29	AmelILC-15910		XP_006572053.1
HymHub-v0.3.0-HILC-29	BterILC-05534		XP_012166354.1
HymHub-v0.3.0-HILC-29	CfloILC-07939		XP_011252815.1
HymHub-v0.3.0-HILC-29	HsalILC-06203		XP_011136084.1
HymHub-v0.3.0-HILC-29	PcanILC-09028		XP_014607478.1
HymHub-v0.3.0-HILC-29	PdtlILC-01681		PdomMRNAr1.2-06077.1
HymHub-v0.3.0-HILC-29	NvitILC-00802		XP_003424996.1
HymHub-v0.3.0-HILC-30	AmelILC-04676		XP_392312.3
HymHub-v0.3.0-HILC-30	BterILC-03188		XP_012163211.1
HymHub-v0.3.0-HILC-30	CfloILC-09195		XP_011253896.1
HymHub-v0.3.0-HILC-30	HsalILC-20675		XP_011148714.1
HymHub-v0.3.0-HILC-30	PcanILC-03612		XP_014599042.1
HymHub-v0.3.0-HILC-30	PdtlILC-04210		PdomMRNAr1.2-03637.1
HymHub-v0.3.0-HILC-30	NvitILC-08934		XP_008211379.1
HymHub-v0.3.0-HILC-31	AmelILC-08972		XP_006569896.1
HymHub-v0.3.0-HILC-31	BterILC-12024		XP_003402001.1
HymHub-v0.3.0-HILC-31	CfloILC-05770		XP_011251084.1
HymHub-v0.3.0-HILC-31	HsalILC-03378		XP_011154180.1
HymHub-v0.3.0-HILC-31	PcanILC-00095		XP_014615532.1
HymHub-v0.3.0-HILC-31	PdtlILC-07342		PdomMRNAr1.2-05629.1
HymHub-v0.3.0-HILC-31	NvitILC-08333		XP_001603043.2
HymHub-v0.3.0-HILC-32	AmelILC-10787		XP_006557538.1
HymHub-v0.3.0-HILC-32	BterILC-05297		XP_012166106.1
HymHub-v0.3.0-HILC-32	CfloILC-18139		XP_011261142.1
HymHub-v0.3.0-HILC-32	HsalILC-13252		XP_011142345.1
HymHub-v0.3.0-HILC-32	PcanILC-05241		XP_014601708.1
HymHub-v0.3.0-HILC-32	PdtlILC-06734		PdomMRNAr1.2-11617.1
HymHub-v0.3.0-HILC-32	NvitILC-01115		XP_001604560.2
HymHub-v0.3.0-HILC-33	AmelILC-15483		XP_006571828.1
HymHub-v0.3.0-HILC-33	BterILC-08988		XP_003399747.1
HymHub-v0.3.0-HILC-33	CfloILC-02560		XP_011267213.1
HymHub-v0.3.0-HILC-33	HsalILC-12592		XP_011141676.1
HymHub-v0.3.0-HILC-33	PcanILC-05501		XP_014602109.1
HymHub-v0.3.0-HILC-33	PdtlILC-00424		PdomMRNAr1.2-04329.1
HymHub-v0.3.0-HILC-33	NvitILC-03124		XP_008216102.1
HymHub-v0.3.0-HILC-34	AmelILC-08898		XP_006569784.1
HymHub-v0.3.0-HILC-34	BterILC-12015		XP_003402056.1
HymHub-v0.3.0-HILC-34	CfloILC-09385		XP_011253951.1
HymHub-v0.3.0-HILC-34	HsalILC-14373		XP_011143410.1
HymHub-v0.3.0-HILC-34	PcanILC-05659		XP_014602289.1
HymHub-v0.3.0-HILC-34	PdtlILC-01931		PdomMRNAr1.2-02190.1
HymHub-v0.3.0-HILC-34	NvitILC-15998		XP_003426298.1
HymHub-v0.3.0-HILC-35	AmelILC-14710		XP_006563614.1
HymHub-v0.3.0-HILC-35	BterILC-10681		XP_012172164.1
HymHub-v0.3.0-HILC-35	CfloILC-17563		XP_011260848.1
HymHub-v0.3.0-HILC-35	HsalILC-21499		XP_011149404.1
HymHub-v0.3.0-HILC-35	PcanILC-05292		XP_014601724.1
HymHub-v0.3.0-HILC-35	PdtlILC-04112		PdomMRNAr1.2-02465.1
HymHub-v0.3.0-HILC-35	NvitILC-18026		XP_001603649.2
HymHub-v0.3.0-HILC-36	AmelILC-13973		XP_006565866.1
HymHub-v0.3.0-HILC-36	BterILC-09994		XP_003400530.2
HymHub-v0.3.0-HILC-36	CfloILC-07681		XP_011252617.1
HymHub-v0.3.0-HILC-36	HsalILC-22172		XP_011149976.1
HymHub-v0.3.0-HILC-36	PcanILC-02813		XP_014597754.1
HymHub-v0.3.0-HILC-36	PdtlILC-12711		PdomMRNAr1.2-05952.1
HymHub-v0.3.0-HILC-36	NvitILC-03887		XP_008207953.1
HymHub-v0.3.0-HILC-37	AmelILC-03163		XP_392192.2
HymHub-v0.3.0-HILC-37	BterILC-01110		XP_012172532.1
HymHub-v0.3.0-HILC-37	CfloILC-14610		XP_011258472.1
HymHub-v0.3.0-HILC-37	HsalILC-22137		XP_011149909.1
HymHub-v0.3.0-HILC-37	PcanILC-10743		XP_014609958.1
HymHub-v0.3.0-HILC-37	PdtlILC-09248		PdomMRNAr1.2-09748.1
HymHub-v0.3.0-HILC-37	NvitILC-00139		XP_001604604.3
HymHub-v0.3.0-HILC-38	AmelILC-01936		XP_006571587.1
HymHub-v0.3.0-HILC-38	BterILC-00098		XP_012166738.1
HymHub-v0.3.0-HILC-38	CfloILC-08436		XP_011253272.1
HymHub-v0.3.0-HILC-38	HsalILC-03126		XP_011153919.1
HymHub-v0.3.0-HILC-38	PcanILC-12621		XP_014612440.1
HymHub-v0.3.0-HILC-38	PdtlILC-17799		PdomMRNAr1.2-02817.1
HymHub-v0.3.0-HILC-38	NvitILC-11148		XP_008202226.1
HymHub-v0.3.0-HILC-39	AmelILC-08323		XP_006561501.1
HymHub-v0.3.0-HILC-39	BterILC-05851		XP_003397380.1
HymHub-v0.3.0-HILC-39	CfloILC-27252		XP_011267978.1
HymHub-v0.3.0-HILC-39	HsalILC-13824		XP_011142838.1
HymHub-v0.3.0-HILC-39	PcanILC-02360		XP_014616438.1
HymHub-v0.3.0-HILC-39	PdtlILC-05638		PdomMRNAr1.2-03785.1
HymHub-v0.3.0-HILC-39	NvitILC-03215		XP_008215985.1
HymHub-v0.3.0-HILC-40	AmelILC-10211		XP_395082.4
HymHub-v0.3.0-HILC-40	BterILC-07274		XP_012167833.1
HymHub-v0.3.0-HILC-40	CfloILC-08964		XP_011253692.1
HymHub-v0.3.0-HILC-40	HsalILC-15602		XP_011144390.1
HymHub-v0.3.0-HILC-40	PcanILC-08435		XP_014606533.1
HymHub-v0.3.0-HILC-40	PdtlILC-03368		PdomMRNAr1.2-03705.1
HymHub-v0.3.0-HILC-40	NvitILC-02631		XP_008215392.1
HymHub-v0.3.0-HILC-41	AmelILC-15296		XP_006561448.1
HymHub-v0.3.0-HILC-41	BterILC-12178		XP_003402146.1
HymHub-v0.3.0-HILC-41	CfloILC-14490		XP_011258355.1
HymHub-v0.3.0-HILC-41	HsalILC-04974		XP_011135149.1
HymHub-v0.3.0-HILC-41	PcanILC-00100		XP_014611360.1
HymHub-v0.3.0-HILC-41	PdtlILC-07351		PdomMRNAr1.2-06061.1
HymHub-v0.3.0-HILC-41	NvitILC-01149		XP_008216737.1
HymHub-v0.3.0-HILC-42	AmelILC-12161		XP_392624.4
HymHub-v0.3.0-HILC-42	BterILC-08930		XP_003399814.1
HymHub-v0.3.0-HILC-42	CfloILC-21927		XP_011263903.1
HymHub-v0.3.0-HILC-42	HsalILC-15611		XP_011144404.1
HymHub-v0.3.0-HILC-42	PcanILC-11335		XP_014610710.1
HymHub-v0.3.0-HILC-42	PdtlILC-14398		PdomMRNAr1.2-03881.1
HymHub-v0.3.0-HILC-42	NvitILC-02366		XP_001603698.1
HymHub-v0.3.0-HILC-43	AmelILC-05211		XP_006562212.1
HymHub-v0.3.0-HILC-43	BterILC-03702		XP_003395472.1
HymHub-v0.3.0-HILC-43	CfloILC-07832		XP_011252755.1
HymHub-v0.3.0-HILC-43	HsalILC-13896		XP_011142882.1
HymHub-v0.3.0-HILC-43	PcanILC-13310		XP_014613332.1
HymHub-v0.3.0-HILC-43	PdtlILC-16778		PdomMRNAr1.2-02113.1
HymHub-v0.3.0-HILC-43	NvitILC-08801		XP_008211259.1
HymHub-v0.3.0-HILC-44	AmelILC-02414		XP_006561251.1
HymHub-v0.3.0-HILC-44	BterILC-01635		XP_012175801.1
HymHub-v0.3.0-HILC-44	CfloILC-12056		XP_011256233.1
HymHub-v0.3.0-HILC-44	HsalILC-03528		XP_011154294.1
HymHub-v0.3.0-HILC-44	PcanILC-08235		XP_014606230.1
HymHub-v0.3.0-HILC-44	PdtlILC-16658		PdomMRNAr1.2-02752.1
HymHub-v0.3.0-HILC-44	NvitILC-06850		XP_008213503.1
HymHub-v0.3.0-HILC-45	AmelILC-01697		XP_006571364.1
HymHub-v0.3.0-HILC-45	BterILC-00027		XP_012169544.1
HymHub-v0.3.0-HILC-45	CfloILC-26569		XP_011267508.1
HymHub-v0.3.0-HILC-45	HsalILC-05522		XP_011135514.1
HymHub-v0.3.0-HILC-45	PcanILC-12901		XP_014612739.1
HymHub-v0.3.0-HILC-45	PdtlILC-16953		PdomMRNAr1.2-05701.1
HymHub-v0.3.0-HILC-45	NvitILC-13554		XP_008202407.1
HymHub-v0.3.0-HILC-46	AmelILC-00228		XP_006559912.1
HymHub-v0.3.0-HILC-46	BterILC-12767		XP_012174192.1
HymHub-v0.3.0-HILC-46	CfloILC-09795		XP_011254331.1
HymHub-v0.3.0-HILC-46	HsalILC-07588		XP_011137184.1
HymHub-v0.3.0-HILC-46	PcanILC-08553		XP_014606704.1
HymHub-v0.3.0-HILC-46	PdtlILC-03135		PdomMRNAr1.2-08296.1
HymHub-v0.3.0-HILC-46	NvitILC-07500		XP_001601171.2
HymHub-v0.3.0-HILC-47	AmelILC-15411		XP_006563201.1
HymHub-v0.3.0-HILC-47	BterILC-09158		XP_003399657.1
HymHub-v0.3.0-HILC-47	CfloILC-18486		XP_011261366.1
HymHub-v0.3.0-HILC-47	HsalILC-16346		XP_011144992.1
HymHub-v0.3.0-HILC-47	PcanILC-07773		XP_014605593.1
HymHub-v0.3.0-HILC-47	PdtlILC-01833		PdomMRNAr1.2-08538.1
HymHub-v0.3.0-HILC-47	NvitILC-03568		XP_003427104.1
HymHub-v0.3.0-HILC-48	AmelILC-05292		XP_001120452.2
HymHub-v0.3.0-HILC-48	BterILC-03769		XP_003395454.1
HymHub-v0.3.0-HILC-48	CfloILC-15224		XP_011258902.1
HymHub-v0.3.0-HILC-48	HsalILC-15597		XP_011144381.1
HymHub-v0.3.0-HILC-48	PcanILC-13211		XP_014613206.1
HymHub-v0.3.0-HILC-48	PdtlILC-14245		PdomMRNAr1.2-01088.1
HymHub-v0.3.0-HILC-48	NvitILC-09145		XP_001606712.2
HymHub-v0.3.0-HILC-49	AmelILC-00609		XP_006563335.1
HymHub-v0.3.0-HILC-49	BterILC-13540		XP_012174454.1
HymHub-v0.3.0-HILC-49	CfloILC-18206		XP_011261186.1
HymHub-v0.3.0-HILC-49	HsalILC-10415		XP_011139760.1
HymHub-v0.3.0-HILC-49	PcanILC-12150		XP_014611793.1
HymHub-v0.3.0-HILC-49	PdtlILC-16996		PdomMRNAr1.2-08348.1
HymHub-v0.3.0-HILC-49	NvitILC-07847		XP_008216655.1
HymHub-v0.3.0-HILC-50	AmelILC-01930		XP_006571516.1
HymHub-v0.3.0-HILC-50	BterILC-00103		XP_003392920.1
HymHub-v0.3.0-HILC-50	CfloILC-08430		XP_011253248.1
HymHub-v0.3.0-HILC-50	HsalILC-03119		XP_011153904.1
HymHub-v0.3.0-HILC-50	PcanILC-12628		XP_014612432.1
HymHub-v0.3.0-HILC-50	PdtlILC-17806		PdomMRNAr1.2-10849.1
HymHub-v0.3.0-HILC-50	NvitILC-11200		XP_008202556.1
HymHub-v0.3.0-HILC-51	AmelILC-03243		XP_396833.4
HymHub-v0.3.0-HILC-51	BterILC-01700		XP_012176211.1
HymHub-v0.3.0-HILC-51	CfloILC-26899		XP_011267693.1
HymHub-v0.3.0-HILC-51	HsalILC-14244		XP_011143261.1
HymHub-v0.3.0-HILC-51	PcanILC-07937		XP_014605790.1
HymHub-v0.3.0-HILC-51	PdtlILC-08273		PdomMRNAr1.2-11876.1
HymHub-v0.3.0-HILC-51	NvitILC-04096		XP_008212429.1
HymHub-v0.3.0-HILC-52	AmelILC-14232		XP_006560698.1
HymHub-v0.3.0-HILC-52	BterILC-11366		XP_012172331.1
HymHub-v0.3.0-HILC-52	CfloILC-15793		XP_011259421.1
HymHub-v0.3.0-HILC-52	HsalILC-13093		XP_011142153.1
HymHub-v0.3.0-HILC-52	PcanILC-11314		XP_014610704.1
HymHub-v0.3.0-HILC-52	PdtlILC-17473		PdomMRNAr1.2-01094.1
HymHub-v0.3.0-HILC-52	NvitILC-11435		XP_001606680.2
HymHub-v0.3.0-HILC-53	AmelILC-09385		XP_006561799.1
HymHub-v0.3.0-HILC-53	BterILC-05953		XP_012166919.1
HymHub-v0.3.0-HILC-53	CfloILC-12473		XP_011256804.1
HymHub-v0.3.0-HILC-53	HsalILC-23275		XP_011150851.1
HymHub-v0.3.0-HILC-53	PcanILC-06816		XP_014604123.1
HymHub-v0.3.0-HILC-53	PdtlILC-11198		PdomMRNAr1.2-11749.1
HymHub-v0.3.0-HILC-53	NvitILC-09100		XP_001606300.1
HymHub-v0.3.0-HILC-54	AmelILC-10575		XP_393700.2
HymHub-v0.3.0-HILC-54	BterILC-07131		XP_012167996.1
HymHub-v0.3.0-HILC-54	CfloILC-14878		XP_011258618.1
HymHub-v0.3.0-HILC-54	HsalILC-17969		XP_011146261.1
HymHub-v0.3.0-HILC-54	PcanILC-11527		XP_014610995.1
